Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
60;9,85E-01;1,00E+00;7,88E-01;0,00E+00;1,12E-02;9,24E-01;1,27E-06;8,71E-07;;
30;1,00E+00;9,84E-01;1,97E-02;0,00E+00;1,53E-01;9,99E-01;9,03E-08;7,92E-08;;
105;9,93E-01;5,94E-01;7,84E-01;1,00E+00;0,00E+00;1,96E-01;8,00E-07;2,32E-07;;
105;8,88E-01;9,92E-01;1,00E+00;8,88E-01;0,00E+00;3,06E-02;1,81E-06;1,21E-06;;
285;9,88E-01;0,00E+00;1,22E-01;1,00E+00;9,89E-01;9,86E-01;2,07E-06;1,12E-06;;
15;9,90E-01;9,52E-01;4,95E-02;0,00E+00;9,38E-01;1,00E+00;2,18E-06;1,21E-06;;
180;1,67E-03;7,92E-01;9,94E-01;1,00E+00;8,35E-01;0,00E+00;1,03E-07;7,22E-08;;
285;9,14E-01;0,00E+00;6,79E-02;9,14E-01;9,61E-01;1,00E+00;2,07E-06;1,30E-06;;
270;5,08E-01;0,00E+00;5,04E-01;9,74E-01;1,00E+00;9,85E-01;5,16E-08;2,82E-08;;
285;4,93E-01;0,00E+00;4,14E-02;9,59E-01;1,00E+00;9,84E-01;2,35E-07;1,64E-07;;
225;0,00E+00;3,56E-02;9,62E-01;1,00E+00;9,91E-01;4,09E-02;8,71E-08;8,12E-08;;
255;2,89E-02;0,00E+00;8,74E-01;1,00E+00;9,89E-01;8,87E-01;1,55E-06;1,05E-06;;
180;0,00E+00;1,00E+00;7,27E-01;7,25E-01;9,55E-01;1,64E-02;7,55E-07;2,87E-07;;
15;9,93E-01;1,00E+00;3,37E-02;0,00E+00;9,49E-01;9,61E-01;1,15E-07;6,77E-08;;
150;2,13E-01;7,87E-01;5,96E-01;8,44E-01;1,00E+00;0,00E+00;8,21E-07;9,90E-08;;
345;1,00E+00;7,89E-01;0,00E+00;8,79E-02;9,87E-01;9,91E-01;2,00E-06;1,14E-06;;
210;0,00E+00;6,17E-01;9,57E-01;8,84E-01;1,00E+00;2,02E-01;6,75E-07;2,52E-07;;
75;9,87E-01;1,00E+00;9,51E-01;2,86E-02;0,00E+00;9,69E-01;1,92E-06;1,30E-06;;
75;1,00E+00;9,87E-01;8,89E-01;6,17E-02;0,00E+00;8,97E-01;2,20E-07;1,38E-07;;
90;1,00E+00;9,99E-01;9,88E-01;1,01E-01;0,00E+00;9,43E-02;1,10E-06;9,33E-07;;
300;1,00E+00;5,21E-02;0,00E+00;8,72E-01;8,37E-01;8,63E-01;1,45E-06;6,74E-07;;
180;5,42E-03;7,72E-01;1,00E+00;9,73E-01;7,94E-01;0,00E+00;2,18E-07;1,29E-07;;
