Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
225;0,00E+00;2,61E-01;1,00E+00;9,46E-01;9,61E-01;2,70E-01;2,13E-06;1,03E-06;;
195;0,00E+00;9,40E-01;1,00E+00;9,91E-01;9,56E-01;4,78E-02;2,19E-06;1,21E-06;;
150;1,51E-01;9,60E-01;1,00E+00;9,79E-01;1,67E-01;0,00E+00;1,41E-06;1,06E-06;;
360;9,85E-01;8,19E-01;3,87E-03;0,00E+00;8,83E-01;1,00E+00;1,92E-06;1,01E-06;;
285;8,89E-01;0,00E+00;1,12E-02;8,80E-01;1,00E+00;9,91E-01;3,19E-07;2,22E-07;;
45;1,00E+00;9,78E-01;8,22E-02;0,00E+00;7,65E-02;9,96E-01;2,75E-07;2,35E-07;;
315;1,00E+00;1,34E-01;0,00E+00;1,27E-01;9,68E-01;9,49E-01;1,14E-06;8,77E-07;;
45;1,00E+00;9,84E-01;1,00E-01;0,00E+00;9,48E-02;9,82E-01;1,33E-06;1,11E-06;;
15;9,58E-01;1,00E+00;9,49E-02;0,00E+00;7,44E-01;9,75E-01;1,99E-06;1,15E-06;;
300;9,78E-01;1,08E-02;0,00E+00;7,39E-01;1,00E+00;9,91E-01;2,08E-07;1,43E-07;;
180;0,00E+00;1,00E+00;4,01E-01;4,30E-01;7,97E-01;4,01E-02;8,28E-07;8,68E-08;;
75;9,85E-01;1,00E+00;9,03E-01;1,15E-02;0,00E+00;8,97E-01;1,57E-06;1,10E-06;;
270;7,49E-01;0,00E+00;7,50E-01;9,97E-01;9,76E-01;1,00E+00;2,40E-06;9,74E-07;;
15;9,24E-01;1,00E+00;2,60E-02;0,00E+00;8,53E-01;9,47E-01;2,02E-06;1,30E-06;;
15;9,82E-01;1,00E+00;6,79E-02;0,00E+00;7,14E-01;9,86E-01;1,85E-06;1,16E-06;;
60;9,83E-01;1,00E+00;7,58E-01;0,00E+00;9,43E-03;8,91E-01;7,12E-07;4,96E-07;;
345;9,97E-01;8,52E-01;0,00E+00;2,55E-02;9,61E-01;1,00E+00;1,88E-06;1,20E-06;;
15;9,99E-01;9,46E-01;2,80E-02;0,00E+00;8,72E-01;1,00E+00;1,61E-06;1,05E-06;;
360;9,84E-01;8,52E-01;0,00E+00;9,77E-04;9,27E-01;1,00E+00;2,29E-06;9,62E-07;;
315;9,70E-01;1,02E-01;0,00E+00;1,15E-01;1,00E+00;9,86E-01;1,53E-06;1,24E-06;;
300;9,42E-01;0,00E+00;1,82E-02;1,00E+00;5,91E-01;6,47E-01;8,05E-07;2,35E-07;;
165;9,15E-02;9,60E-01;6,69E-01;7,71E-01;1,00E+00;0,00E+00;7,55E-07;2,93E-07;;
360;9,90E-01;8,00E-01;1,04E-03;0,00E+00;7,95E-01;1,00E+00;1,23E-06;8,50E-07;;
30;9,86E-01;9,83E-01;1,16E-01;0,00E+00;5,00E-01;1,00E+00;1,97E-06;1,11E-06;;
300;8,21E-01;7,76E-05;0,00E+00;9,10E-01;9,92E-01;1,00E+00;1,28E-06;8,70E-07;;
120;9,70E-01;9,92E-01;1,00E+00;8,76E-01;1,00E-03;0,00E+00;2,07E-06;1,18E-06;;
255;2,88E-02;0,00E+00;9,65E-01;9,80E-01;1,00E+00;9,48E-01;1,92E-06;1,30E-06;;
135;1,18E-01;1,00E+00;9,82E-01;9,63E-01;1,02E-01;0,00E+00;1,53E-06;1,24E-06;;
45;1,00E+00;9,93E-01;1,56E-01;0,00E+00;1,36E-01;9,63E-01;4,42E-08;3,24E-08;;
75;9,92E-01;1,00E+00;8,81E-01;2,09E-02;0,00E+00;8,94E-01;2,13E-07;1,45E-07;;
105;9,04E-01;1,00E+00;9,79E-01;9,04E-01;0,00E+00;1,41E-02;1,81E-06;1,25E-06;;
240;0,00E+00;2,47E-03;9,34E-01;9,92E-01;1,00E+00;8,51E-01;1,60E-06;1,03E-06;;
105;1,00E+00;9,62E-01;9,92E-01;9,55E-01;0,00E+00;3,57E-02;2,10E-06;1,40E-06;;
210;0,00E+00;2,27E-01;1,00E+00;9,97E-01;9,72E-01;2,73E-02;1,10E-06;9,19E-07;;
30;1,00E+00;9,46E-01;1,13E-01;0,00E+00;4,34E-01;9,98E-01;1,97E-06;1,19E-06;;
345;9,24E-01;9,62E-01;0,00E+00;6,24E-02;1,00E+00;8,79E-01;1,39E-06;7,52E-07;;
30;1,00E+00;9,26E-01;5,24E-02;0,00E+00;3,49E-01;9,56E-01;2,98E-07;2,11E-07;;
150;6,17E-02;9,93E-01;9,95E-01;1,00E+00;3,11E-01;0,00E+00;1,80E-06;1,33E-06;;
270;4,66E-01;0,00E+00;4,73E-01;9,95E-01;1,00E+00;9,85E-01;1,86E-06;1,06E-06;;
120;7,94E-01;1,00E+00;9,98E-01;9,54E-01;1,57E-02;0,00E+00;1,78E-06;1,19E-06;;
165;3,89E-02;9,21E-01;9,75E-01;1,00E+00;9,60E-01;0,00E+00;2,32E-07;1,36E-07;;
15;1,00E+00;9,70E-01;2,05E-02;0,00E+00;9,13E-01;9,81E-01;1,33E-06;8,83E-07;;
30;9,92E-01;9,83E-01;1,07E-02;0,00E+00;1,23E-01;1,00E+00;1,07E-06;9,65E-07;;
315;9,98E-01;1,59E-01;0,00E+00;1,57E-01;9,49E-01;1,00E+00;1,41E-08;9,82E-09;;
300;9,48E-01;3,21E-02;0,00E+00;8,75E-01;9,87E-01;1,00E+00;2,00E-06;1,25E-06;;
135;1,48E-01;9,66E-01;9,90E-01;1,00E+00;1,48E-01;0,00E+00;9,64E-08;6,97E-08;;
330;1,00E+00;3,87E-01;0,00E+00;1,12E-01;9,50E-01;9,65E-01;1,95E-06;1,23E-06;;
120;7,85E-01;1,00E+00;9,87E-01;9,43E-01;1,27E-02;0,00E+00;1,55E-06;1,05E-06;;
60;1,00E+00;9,94E-01;8,27E-01;0,00E+00;2,90E-02;8,65E-01;1,10E-07;6,88E-08;;
15;8,67E-01;9,48E-01;7,67E-02;0,00E+00;1,00E+00;9,09E-01;1,46E-06;6,41E-07;;
75;9,89E-01;1,00E+00;8,83E-01;9,35E-03;0,00E+00;8,67E-01;1,06E-07;7,39E-08;;
255;1,51E-01;0,00E+00;1,00E+00;8,73E-01;8,13E-01;9,63E-01;1,49E-06;6,20E-07;;
285;8,62E-01;0,00E+00;1,88E-02;8,86E-01;1,00E+00;9,99E-01;1,08E-07;7,39E-08;;
90;9,88E-01;9,78E-01;1,00E+00;7,81E-01;0,00E+00;7,60E-01;2,45E-06;9,68E-07;;
300;8,97E-01;1,68E-02;0,00E+00;7,66E-01;9,98E-01;1,00E+00;4,80E-08;3,23E-08;;
240;0,00E+00;5,43E-03;9,21E-01;9,90E-01;1,00E+00;6,91E-01;1,24E-06;8,79E-07;;
90;9,73E-01;1,00E+00;9,67E-01;5,90E-01;0,00E+00;5,93E-01;7,99E-07;4,02E-07;;
60;9,75E-01;1,00E+00;7,99E-01;0,00E+00;3,25E-02;9,49E-01;1,99E-06;1,25E-06;;
90;9,41E-01;1,00E+00;9,48E-01;5,97E-01;0,00E+00;6,19E-01;1,72E-08;8,19E-09;;
315;1,00E+00;4,14E-02;0,00E+00;5,01E-01;9,39E-01;9,88E-01;2,01E-07;1,40E-07;;
195;0,00E+00;8,19E-01;9,99E-01;1,00E+00;9,43E-01;9,28E-03;7,39E-07;5,14E-07;;
240;0,00E+00;3,93E-02;9,35E-01;9,58E-01;1,00E+00;9,52E-01;2,20E-06;1,23E-06;;
345;8,74E-01;1,00E+00;0,00E+00;6,40E-02;9,58E-01;8,30E-01;1,52E-06;5,73E-07;;
330;9,88E-01;1,20E-01;0,00E+00;9,96E-02;9,68E-01;1,00E+00;4,33E-08;3,54E-08;;
300;1,00E+00;0,00E+00;6,97E-03;9,85E-01;8,85E-01;8,86E-01;1,46E-06;6,42E-07;;
135;1,02E-01;9,98E-01;1,00E+00;9,82E-01;9,42E-02;0,00E+00;1,33E-06;1,11E-06;;
270;6,25E-01;0,00E+00;6,15E-01;9,83E-01;9,41E-01;1,00E+00;2,21E-06;1,07E-06;;
345;7,60E-01;1,00E+00;0,00E+00;9,60E-02;9,60E-01;6,69E-01;7,57E-07;2,95E-07;;
90;9,74E-01;1,00E+00;9,87E-01;1,05E-01;0,00E+00;1,02E-01;4,31E-08;3,56E-08;;
360;9,91E-01;8,46E-01;0,00E+00;4,50E-03;9,17E-01;1,00E+00;2,25E-06;9,81E-07;;
30;1,00E+00;9,75E-01;1,58E-02;0,00E+00;1,42E-01;9,99E-01;4,10E-08;3,63E-08;;
60;9,94E-01;1,00E+00;7,25E-01;0,00E+00;1,38E-02;8,99E-01;4,77E-08;3,23E-08;;
15;4,94E-01;7,63E-01;7,26E-02;0,00E+00;1,00E+00;4,94E-01;8,28E-07;1,79E-07;;
150;7,93E-02;9,69E-01;1,00E+00;9,89E-01;4,14E-01;0,00E+00;1,48E-06;1,01E-06;;
240;0,00E+00;1,40E-02;9,40E-01;9,87E-01;1,00E+00;7,22E-01;3,15E-07;2,15E-07;;
255;1,13E-01;0,00E+00;1,00E+00;8,90E-01;7,58E-01;9,92E-01;7,17E-07;3,80E-07;;
270;4,72E-01;0,00E+00;4,75E-01;9,94E-01;1,00E+00;9,82E-01;1,62E-06;9,18E-07;;
90;9,07E-01;1,00E+00;9,41E-01;6,19E-01;0,00E+00;5,84E-01;3,54E-07;1,69E-07;;
165;1,89E-02;9,88E-01;1,00E+00;9,96E-01;8,95E-01;0,00E+00;5,22E-08;3,39E-08;;
60;9,95E-01;1,00E+00;8,72E-01;0,00E+00;2,81E-03;8,63E-01;3,23E-07;2,09E-07;;
270;2,43E-01;0,00E+00;2,40E-01;9,83E-01;9,85E-01;1,00E+00;1,99E-06;1,17E-06;;
300;9,60E-01;1,78E-02;0,00E+00;7,05E-01;9,83E-01;1,00E+00;1,90E-06;1,30E-06;;
105;8,84E-01;1,00E+00;9,64E-01;8,96E-01;0,00E+00;6,56E-02;2,20E-07;1,38E-07;;
15;9,93E-01;1,00E+00;4,62E-02;0,00E+00;6,98E-01;9,65E-01;3,23E-07;2,10E-07;;
225;0,00E+00;3,27E-02;9,55E-01;1,00E+00;9,92E-01;3,94E-02;3,98E-08;3,73E-08;;
270;5,70E-01;0,00E+00;5,71E-01;9,79E-01;1,00E+00;9,92E-01;2,65E-07;1,35E-07;;
120;7,34E-01;9,74E-01;1,00E+00;9,89E-01;1,83E-02;0,00E+00;2,01E-06;1,35E-06;;
90;9,88E-01;1,00E+00;9,92E-01;1,64E-01;0,00E+00;1,59E-01;1,64E-06;1,21E-06;;
180;3,43E-03;8,38E-01;1,00E+00;9,84E-01;7,45E-01;0,00E+00;3,14E-07;1,99E-07;;
180;8,42E-04;8,61E-01;9,88E-01;1,00E+00;8,92E-01;0,00E+00;1,90E-06;1,24E-06;;
15;1,00E+00;9,43E-01;9,28E-03;0,00E+00;8,19E-01;9,98E-01;7,39E-07;5,14E-07;;
90;1,00E+00;9,66E-01;9,97E-01;7,08E-01;0,00E+00;7,03E-01;2,39E-06;1,05E-06;;
195;0,00E+00;9,53E-01;7,46E-01;6,74E-01;1,00E+00;2,07E-01;7,85E-07;2,03E-07;;
255;1,37E-02;0,00E+00;8,84E-01;1,00E+00;9,93E-01;8,81E-01;1,28E-06;8,90E-07;;
15;1,00E+00;9,98E-01;4,55E-02;0,00E+00;7,17E-01;9,62E-01;2,42E-07;1,58E-07;;
180;4,01E-03;7,20E-01;1,00E+00;9,75E-01;7,94E-01;0,00E+00;4,99E-08;3,04E-08;;
105;8,72E-01;1,00E+00;9,88E-01;8,83E-01;0,00E+00;9,14E-03;2,11E-07;1,47E-07;;
270;7,40E-01;0,00E+00;7,24E-01;9,57E-01;8,76E-01;1,00E+00;1,53E-06;5,92E-07;;
330;9,65E-01;3,25E-01;0,00E+00;7,23E-02;9,88E-01;1,00E+00;1,83E-06;1,31E-06;;
75;1,00E+00;9,99E-01;8,89E-01;5,69E-03;0,00E+00;8,82E-01;1,28E-06;8,97E-07;;
30;5,93E-01;7,28E-01;2,29E-01;0,00E+00;1,00E+00;7,08E-01;8,12E-07;9,92E-08;;
135;7,72E-02;9,92E-01;1,00E+00;9,75E-01;7,10E-02;0,00E+00;1,79E-07;1,55E-07;;
270;1,02E-01;0,00E+00;9,45E-02;1,00E+00;1,00E+00;9,92E-01;1,09E-06;9,29E-07;;
180;0,00E+00;8,26E-01;9,94E-01;1,00E+00;8,54E-01;1,78E-03;1,54E-06;1,07E-06;;
30;1,00E+00;9,82E-01;3,77E-02;0,00E+00;2,57E-01;9,96E-01;9,47E-08;7,53E-08;;
90;9,87E-01;1,00E+00;9,83E-01;6,91E-01;0,00E+00;6,82E-01;1,80E-06;8,27E-07;;
240;0,00E+00;8,73E-03;9,35E-01;9,79E-01;1,00E+00;7,14E-01;1,04E-07;7,24E-08;;
150;5,50E-02;9,66E-01;1,00E+00;9,93E-01;3,07E-01;0,00E+00;1,40E-06;1,07E-06;;
180;0,00E+00;8,25E-01;9,95E-01;1,00E+00;8,03E-01;2,37E-03;1,05E-07;6,95E-08;;
45;7,90E-01;8,02E-01;3,62E-01;0,00E+00;3,46E-01;1,00E+00;7,31E-07;1,63E-07;;
210;0,00E+00;1,62E-01;1,00E+00;9,97E-01;9,72E-01;2,04E-02;2,74E-07;2,36E-07;;
255;9,00E-02;0,00E+00;9,71E-01;1,00E+00;9,62E-01;9,56E-01;2,13E-06;1,25E-06;;
165;6,28E-02;9,61E-01;8,31E-01;8,74E-01;1,00E+00;0,00E+00;1,52E-06;5,69E-07;;
150;3,04E-01;9,44E-01;8,38E-01;1,00E+00;9,24E-01;0,00E+00;7,76E-07;1,40E-07;;
105;8,57E-01;1,00E+00;9,92E-01;8,53E-01;0,00E+00;1,00E-02;7,24E-07;5,08E-07;;
75;9,93E-01;1,00E+00;9,72E-01;2,52E-02;0,00E+00;4,58E-01;6,76E-07;5,04E-07;;
135;1,27E-01;9,68E-01;9,47E-01;1,00E+00;1,35E-01;0,00E+00;1,14E-06;8,76E-07;;
150;1,12E-01;9,53E-01;9,63E-01;1,00E+00;3,88E-01;0,00E+00;1,95E-06;1,23E-06;;
75;9,30E-01;8,46E-01;9,89E-01;1,51E-01;0,00E+00;1,00E+00;1,50E-06;6,21E-07;;
45;1,00E+00;9,84E-01;7,84E-02;0,00E+00;7,29E-02;9,86E-01;2,05E-07;1,77E-07;;
300;9,09E-01;2,09E-02;0,00E+00;7,55E-01;9,94E-01;1,00E+00;1,51E-08;1,00E-08;;
300;9,52E-01;2,04E-02;0,00E+00;7,98E-01;1,00E+00;9,99E-01;7,38E-07;4,91E-07;;
150;4,06E-02;9,87E-01;9,97E-01;1,00E+00;2,47E-01;0,00E+00;9,61E-08;7,68E-08;;
180;0,00E+00;9,13E-01;9,96E-01;1,00E+00;8,74E-01;1,29E-03;2,05E-06;1,17E-06;;
240;0,00E+00;6,32E-02;9,34E-01;1,00E+00;9,89E-01;9,86E-01;2,23E-06;1,12E-06;;
225;0,00E+00;1,06E-01;9,41E-01;9,59E-01;1,00E+00;6,56E-01;2,14E-06;1,16E-06;;
285;8,71E-01;0,00E+00;1,26E-02;8,79E-01;9,94E-01;1,00E+00;1,28E-06;8,89E-07;;
180;0,00E+00;1,00E+00;6,58E-01;6,76E-01;9,78E-01;2,98E-03;7,86E-07;1,96E-07;;
180;1,50E-03;9,21E-01;1,00E+00;9,84E-01;8,52E-01;0,00E+00;2,29E-06;9,61E-07;;
225;0,00E+00;1,43E-01;9,17E-01;9,83E-01;1,00E+00;1,62E-01;1,40E-08;9,70E-09;;
300;9,62E-01;1,28E-02;0,00E+00;7,41E-01;1,00E+00;9,86E-01;2,36E-07;1,63E-07;;
285;8,85E-01;0,00E+00;4,88E-02;9,09E-01;9,80E-01;1,00E+00;1,61E-06;1,06E-06;;
255;3,98E-02;0,00E+00;8,49E-01;9,71E-01;1,00E+00;8,55E-01;2,11E-07;1,40E-07;;
315;9,88E-01;1,48E-01;0,00E+00;1,48E-01;9,71E-01;1,00E+00;9,69E-08;6,98E-08;;
330;9,99E-01;3,11E-01;0,00E+00;6,47E-02;1,00E+00;9,96E-01;1,81E-06;1,33E-06;;
30;1,00E+00;9,89E-01;7,96E-02;0,00E+00;4,99E-01;9,70E-01;1,06E-07;6,68E-08;;
330;1,00E+00;2,53E-01;0,00E+00;2,40E-01;9,78E-01;9,87E-01;2,00E-06;1,17E-06;;
345;9,53E-01;9,98E-01;0,00E+00;7,32E-02;1,00E+00;9,08E-01;1,47E-06;6,49E-07;;
90;1,00E+00;7,32E-01;9,88E-01;7,68E-01;0,00E+00;7,35E-01;7,97E-07;2,83E-07;;
30;9,77E-01;1,00E+00;2,21E-01;0,00E+00;7,54E-01;9,90E-01;1,51E-06;4,33E-07;;
60;1,00E+00;1,00E+00;5,68E-01;0,00E+00;3,34E-03;9,25E-01;4,52E-08;3,33E-08;;
120;8,02E-01;9,91E-01;1,00E+00;8,38E-01;8,94E-05;0,00E+00;7,11E-07;4,93E-07;;
135;1,81E-01;9,86E-01;9,36E-01;1,00E+00;1,92E-01;0,00E+00;1,72E-06;1,09E-06;;
75;9,77E-01;9,77E-01;1,00E+00;9,91E-02;0,00E+00;6,43E-01;2,08E-06;1,17E-06;;
360;9,94E-01;8,49E-01;0,00E+00;2,96E-03;8,32E-01;1,00E+00;2,39E-07;1,59E-07;;
210;0,00E+00;1,30E-01;9,60E-01;1,00E+00;9,47E-01;1,12E-01;1,36E-08;1,08E-08;;
75;1,00E+00;9,96E-01;8,99E-01;5,96E-02;0,00E+00;9,03E-01;3,34E-07;2,06E-07;;
195;0,00E+00;8,63E-01;1,00E+00;9,93E-01;9,64E-01;1,98E-02;2,16E-07;1,43E-07;;
15;9,92E-01;1,00E+00;4,78E-02;0,00E+00;7,25E-01;9,72E-01;1,54E-08;9,95E-09;;
15;1,00E+00;9,91E-01;3,07E-02;0,00E+00;9,73E-01;9,68E-01;3,43E-07;2,14E-07;;
255;5,76E-02;0,00E+00;8,83E-01;1,00E+00;9,99E-01;8,94E-01;3,32E-07;2,05E-07;;
240;0,00E+00;3,69E-03;8,68E-01;9,95E-01;1,00E+00;8,76E-01;3,23E-07;2,09E-07;;
135;1,06E-01;1,00E+00;9,80E-01;9,99E-01;1,02E-01;0,00E+00;1,65E-06;1,36E-06;;
240;0,00E+00;1,65E-02;9,19E-01;9,87E-01;1,00E+00;7,38E-01;1,54E-06;1,05E-06;;
75;1,00E+00;9,60E-01;9,23E-01;6,82E-02;0,00E+00;9,41E-01;2,10E-06;1,30E-06;;
105;9,61E-01;1,00E+00;9,63E-01;4,65E-01;0,00E+00;3,25E-02;4,72E-08;3,39E-08;;
120;7,72E-01;9,78E-01;1,00E+00;9,37E-01;3,55E-02;0,00E+00;1,10E-07;6,89E-08;;
30;1,00E+00;9,38E-01;5,37E-02;0,00E+00;3,46E-01;9,48E-01;2,27E-07;1,63E-07;;
210;0,00E+00;5,11E-01;9,71E-01;1,00E+00;9,83E-01;1,28E-01;2,11E-06;1,12E-06;;
30;9,00E-01;8,97E-01;2,19E-01;0,00E+00;7,88E-01;1,00E+00;7,38E-07;1,80E-07;;
180;5,04E-05;7,72E-01;9,85E-01;1,00E+00;8,20E-01;0,00E+00;1,46E-08;1,01E-08;;
270;6,93E-01;0,00E+00;6,75E-01;9,73E-01;8,73E-01;1,00E+00;1,51E-06;6,45E-07;;
210;0,00E+00;4,92E-01;9,98E-01;1,00E+00;9,87E-01;1,27E-01;1,96E-06;1,11E-06;;
120;9,25E-01;9,62E-01;9,79E-01;1,00E+00;6,18E-02;0,00E+00;2,26E-06;1,09E-06;;
210;0,00E+00;5,43E-01;9,49E-01;1,00E+00;9,51E-01;1,14E-01;1,88E-06;1,04E-06;;
285;1,00E+00;0,00E+00;1,37E-01;9,99E-01;9,80E-01;9,80E-01;2,24E-06;1,16E-06;;
210;0,00E+00;4,37E-01;1,00E+00;9,91E-01;9,44E-01;1,12E-01;1,98E-06;1,19E-06;;
60;9,80E-01;1,00E+00;8,45E-01;0,00E+00;2,10E-02;8,68E-01;7,41E-07;4,94E-07;;
300;1,00E+00;2,61E-02;0,00E+00;8,29E-01;9,88E-01;9,96E-01;1,85E-06;1,18E-06;;
240;0,00E+00;6,47E-02;9,59E-01;9,94E-01;9,97E-01;1,00E+00;2,28E-06;1,12E-06;;
105;8,70E-01;1,00E+00;9,86E-01;8,91E-01;0,00E+00;1,16E-02;1,52E-08;1,06E-08;;
105;8,63E-01;1,00E+00;9,83E-01;8,63E-01;0,00E+00;3,68E-03;7,23E-07;5,10E-07;;
285;9,05E-01;0,00E+00;5,89E-02;9,02E-01;9,78E-01;1,00E+00;1,90E-06;1,22E-06;;
75;9,86E-01;9,82E-01;9,61E-01;3,50E-02;0,00E+00;1,00E+00;2,11E-06;1,41E-06;;
165;9,34E-02;7,99E-01;6,33E-01;7,11E-01;1,00E+00;0,00E+00;8,12E-07;2,22E-07;;
210;0,00E+00;6,32E-01;9,91E-01;1,00E+00;9,84E-01;1,56E-01;2,13E-06;9,77E-07;;
105;8,62E-01;1,00E+00;9,86E-01;8,61E-01;0,00E+00;2,25E-02;1,54E-08;1,05E-08;;
165;3,20E-02;1,00E+00;9,59E-01;9,63E-01;8,68E-01;0,00E+00;2,13E-06;1,33E-06;;
135;2,42E-02;1,00E+00;1,00E+00;9,97E-01;2,20E-02;0,00E+00;1,03E-06;9,90E-07;;
90;9,86E-01;1,00E+00;9,71E-01;4,39E-01;0,00E+00;4,50E-01;1,55E-08;9,01E-09;;
105;9,30E-01;9,46E-01;1,00E+00;9,04E-01;0,00E+00;8,97E-02;2,08E-06;1,24E-06;;
15;1,00E+00;9,99E-01;4,07E-02;0,00E+00;7,02E-01;9,64E-01;1,07E-07;7,09E-08;;
150;1,10E-01;9,57E-01;1,00E+00;9,99E-01;1,21E-01;0,00E+00;2,17E-07;1,74E-07;;
135;4,72E-02;9,88E-01;9,96E-01;1,00E+00;4,24E-02;0,00E+00;2,63E-07;2,42E-07;;
210;0,00E+00;3,16E-01;9,77E-01;1,00E+00;9,33E-01;5,78E-02;1,63E-06;1,20E-06;;
225;0,00E+00;2,52E-01;1,00E+00;9,48E-01;9,55E-01;2,62E-01;2,08E-06;1,06E-06;;
240;4,13E-03;0,00E+00;1,00E+00;9,61E-01;9,68E-01;9,00E-01;2,23E-06;1,22E-06;;
255;4,75E-02;0,00E+00;5,54E-01;9,80E-01;1,00E+00;9,69E-01;1,46E-08;9,79E-09;;
315;9,81E-01;1,14E-01;0,00E+00;1,21E-01;1,00E+00;9,64E-01;1,73E-06;1,37E-06;;
330;9,61E-01;5,14E-01;0,00E+00;7,95E-02;9,31E-01;1,00E+00;2,13E-07;1,32E-07;;
285;9,32E-01;0,00E+00;8,55E-02;9,48E-01;9,47E-01;1,00E+00;2,16E-06;1,28E-06;;
45;1,00E+00;9,94E-01;6,25E-02;0,00E+00;5,59E-02;9,81E-01;1,48E-06;1,33E-06;;
15;1,00E+00;9,89E-01;2,99E-02;0,00E+00;9,36E-01;9,75E-01;1,61E-08;1,00E-08;;
210;0,00E+00;4,94E-01;9,44E-01;1,00E+00;9,82E-01;7,56E-02;1,54E-08;9,47E-09;;
270;1,15E-01;0,00E+00;1,25E-01;9,64E-01;1,00E+00;9,80E-01;1,37E-08;1,08E-08;;
315;9,80E-01;1,51E-01;0,00E+00;1,64E-01;9,89E-01;1,00E+00;1,73E-06;1,24E-06;;
105;8,72E-01;9,94E-01;1,00E+00;8,79E-01;0,00E+00;3,06E-02;1,56E-06;1,06E-06;;
15;8,72E-01;1,00E+00;1,37E-01;0,00E+00;8,54E-01;9,29E-01;1,46E-06;6,13E-07;;
15;3,16E-01;6,06E-01;1,00E-01;0,00E+00;1,00E+00;3,64E-01;8,43E-07;1,18E-07;;
105;8,80E-01;1,00E+00;9,83E-01;8,61E-01;0,00E+00;2,26E-02;2,47E-07;1,69E-07;;
15;1,00E+00;9,53E-01;1,69E-02;0,00E+00;8,57E-01;9,96E-01;2,49E-07;1,64E-07;;
120;8,63E-01;9,90E-01;1,00E+00;1,00E+00;3,90E-02;0,00E+00;1,64E-06;9,73E-07;;
300;9,43E-01;8,51E-03;0,00E+00;6,28E-01;9,97E-01;1,00E+00;1,71E-06;1,22E-06;;
270;6,18E-01;0,00E+00;6,15E-01;9,89E-01;1,00E+00;9,90E-01;2,00E-06;9,79E-07;;
270;7,32E-01;0,00E+00;7,42E-01;1,00E+00;9,93E-01;9,99E-01;2,22E-06;9,28E-07;;
90;1,00E+00;9,37E-01;9,95E-01;5,84E-01;0,00E+00;5,94E-01;1,39E-06;6,74E-07;;
105;8,75E-01;9,93E-01;1,00E+00;8,69E-01;0,00E+00;1,24E-02;1,28E-06;8,88E-07;;
105;8,35E-01;1,00E+00;9,63E-01;8,52E-01;0,00E+00;2,68E-02;4,88E-08;3,30E-08;;
150;6,31E-02;9,56E-01;1,00E+00;1,00E+00;2,96E-01;0,00E+00;1,66E-06;1,23E-06;;
285;8,64E-01;0,00E+00;1,99E-02;8,69E-01;1,00E+00;9,85E-01;7,31E-07;5,05E-07;;
60;9,99E-01;1,00E+00;8,57E-01;0,00E+00;2,40E-03;8,53E-01;2,13E-07;1,40E-07;;
300;9,12E-01;5,89E-03;0,00E+00;5,79E-01;9,92E-01;1,00E+00;2,27E-07;1,66E-07;;
210;0,00E+00;1,23E-01;1,00E+00;9,92E-01;9,83E-01;1,07E-02;1,06E-06;9,65E-07;;
15;9,54E-01;1,00E+00;3,40E-02;0,00E+00;8,66E-01;9,79E-01;2,12E-06;1,33E-06;;
165;7,03E-02;8,59E-01;9,02E-01;9,09E-01;1,00E+00;0,00E+00;2,32E-06;1,05E-06;;
180;0,00E+00;9,57E-01;9,90E-01;1,00E+00;9,03E-01;7,65E-04;2,15E-06;1,20E-06;;
15;9,82E-01;9,56E-01;4,20E-02;0,00E+00;9,24E-01;1,00E+00;2,07E-06;1,20E-06;;
120;7,52E-01;1,00E+00;9,93E-01;9,57E-01;1,19E-02;0,00E+00;1,51E-08;1,03E-08;;
315;1,00E+00;4,14E-02;0,00E+00;5,18E-01;9,65E-01;1,00E+00;1,02E-07;7,07E-08;;
150;2,09E-02;9,77E-01;1,00E+00;9,92E-01;1,63E-01;0,00E+00;1,29E-08;1,11E-08;;
270;5,64E-01;0,00E+00;5,65E-01;9,73E-01;1,00E+00;9,85E-01;1,16E-07;5,97E-08;;
180;1,57E-04;8,08E-01;9,96E-01;1,00E+00;8,33E-01;0,00E+00;1,24E-06;8,76E-07;;
165;1,09E-02;9,57E-01;1,00E+00;9,86E-01;7,31E-01;0,00E+00;2,44E-07;1,70E-07;;
60;9,96E-01;1,00E+00;8,77E-01;9,03E-05;0,00E+00;9,68E-01;2,07E-06;1,18E-06;;
195;0,00E+00;7,27E-01;1,00E+00;9,99E-01;9,81E-01;4,89E-03;1,26E-06;8,98E-07;;
330;9,89E-01;2,39E-01;0,00E+00;3,31E-02;9,95E-01;1,00E+00;4,30E-08;3,48E-08;;
75;1,00E+00;9,74E-01;9,88E-01;1,19E-01;0,00E+00;9,84E-01;2,06E-06;1,12E-06;;
60;1,00E+00;1,00E+00;5,87E-01;0,00E+00;6,39E-03;9,27E-01;1,42E-08;1,03E-08;;
45;1,00E+00;1,00E+00;2,32E-01;0,00E+00;2,02E-01;9,73E-01;1,97E-06;1,18E-06;;
105;8,47E-01;1,00E+00;9,82E-01;8,67E-01;0,00E+00;3,39E-02;1,55E-08;1,03E-08;;
120;9,52E-01;9,76E-01;1,00E+00;8,62E-01;1,35E-03;0,00E+00;1,87E-06;1,18E-06;;
195;0,00E+00;9,25E-01;1,00E+00;9,79E-01;9,56E-01;4,34E-02;2,07E-06;1,20E-06;;
